Time,Temperature in C,Humidity in %,Light
11:38:2,23.56,55.07,32359.00
11:38:7,23.54,54.89,32215.00
11:38:12,23.53,54.91,32311.00
11:38:17,23.50,54.93,32551.00
11:38:22,23.47,54.96,32231.00
11:38:28,23.44,54.95,31575.00
11:38:33,23.46,55.22,32087.00
11:38:38,23.49,55.50,33928.00
11:38:43,23.47,55.51,17316.00
11:38:48,23.46,55.57,13907.00
11:38:53,23.47,55.62,61679.00
11:38:58,23.51,55.72,63215.00
11:39:3,23.54,55.59,63247.00
11:39:9,23.61,55.48,63295.00
11:39:14,23.64,55.48,63295.00
11:39:19,23.69,55.95,62367.00
11:39:24,23.79,57.34,34792.00
11:39:29,23.87,57.27,33000.00
11:39:34,23.92,57.59,31543.00
11:39:39,23.98,56.18,32968.00
11:39:45,24.04,56.88,34984.00
11:39:50,24.05,56.04,33752.00
11:39:55,24.13,55.55,33448.00
